ds_cidade_usuario,ts_primeiro_acesso,ts_ultimo_acesso,nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,vl_medio_tempo_questionario,vl_medio_tempo_questionario_avaliado,vl_desempenho_questionario,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,vl_engajamento_usuario_por_intervalo,vl_engajamento_usuario_intradia,nr_interacoes_usuario,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,vl_desempenho_usuario,vl_media_questoes_por_dia,vl_engajamento_notas,nr_itens_avaliados,nr_itens_nao_respondidos,vl_media_notas,nr_submissoes_codigo,vl_media_submissoes_codigo,vl_submissoes_por_dias_ativos
CIDADE NAO INFORMADA,2023-08-30 20:50:35,2023-08-30 20:50:35,12,12,0,0,0,0,0,,,,0.0,1,3.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
CAMPINAS,2023-08-22 14:24:37,2023-09-08 14:02:30,20,3,0,0,0,0,2,2713.5,2713.5,,17.0,9,10.5556,,,9,2,1,9,55,60,47,9,1,1.0,0.4615,0.1538,6,57,1.0,0,,
CAMPINAS,2023-09-04 17:57:08,2023-09-06 13:25:38,7,5,0,0,0,0,2,2173.0,2173.0,,2.0,2,28.6667,,,2,1,1,1,55,57,44,9,1,1.0,1.0,1.0,2,61,1.0,0,,
CIDADE NAO INFORMADA,2023-08-22 23:44:04,2023-08-28 16:31:03,20,14,0,0,0,0,0,,,,6.0,2,1.5714,,,2,1,0,1,0,0,0,0,0,,,,0,0,,0,,
CAMPINAS,2023-08-24 18:43:37,2023-08-24 19:13:05,18,18,0,0,0,0,1,18.0,18.0,,0.0,1,58.0,,,1,0,1,0,34,45,1,0,0,1.0,,,1,62,1.0,0,,
CAMPINAS,2023-09-04 04:26:38,2023-09-08 20:24:29,7,3,0,0,0,0,2,1579.0,1579.0,,4.0,2,20.6,,,2,0,1,0,68,60,49,7,1,1.0,,,2,61,1.0,0,,
CURITIBA,2022-09-23 16:54:17,2022-09-23 19:13:39,353,353,0,1,0,0,0,,,,321.0,2,0.1708,,,2,1,0,2,0,0,0,0,0,0.0,,,1,2,0.0,0,,
CAMPINAS,2023-08-19 16:44:27,2023-09-03 15:29:24,23,8,0,0,0,0,2,798.5,798.5,,15.0,2,5.9375,,,2,1,2,1,44,59,50,5,1,0.964285714,,,3,60,0.958333333,0,,
CAMPINAS,2023-08-31 17:56:53,2023-08-31 18:19:05,11,11,0,0,0,0,1,132.0,132.0,,0.0,1,19.0,,,1,0,1,0,9,0,1,0,0,1.0,,,1,62,1.0,0,,
CURITIBA,2022-11-10 10:55:32,2022-11-10 12:26:16,305,305,0,0,0,0,1,2629.0,2629.0,,273.0,4,0.4051,,,4,0,1,0,86,37,14,10,0,0.7674375,,,2,43,0.689916667,0,,
CAMPINAS,2023-07-31 18:11:31,2023-07-31 18:16:53,42,42,0,0,0,0,0,,,,0.0,1,7.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
